N°;NOMBRE;LATITUD;LONGITUD;MINERAL PRINCIPAL;PROVINCIA;ESTADO;OPERADOR
358;"Cantera ""Ramirez""";-27,452631;-55,935168;Triturados pétreos;Misiones;Producción;"Cantera ""Ramirez"""
359;"Cantera ""13""";-25,966509;-54,517278;Triturados pétreos;Misiones;Producción;"Cantera ""13"""
360;"Cantera ""Eldorado S.A."" ";-26,366021;-54,626627;Triturados pétreos;Misiones;Producción;"Cantera ""Eldorado S.A."" "
361;"Cantera ""Conorsa""";-27,582242;-55,850121;Triturados pétreos;Misiones;Producción;"Cantera ""Conorsa"""
362;Cantera Bonpland;-27,505383;-55,453743;Triturados pétreos;Misiones;Producción;Cantera Bonpland
363;Cantera Eldorado Campo San Juan;-27,415559;-55,604127;Triturados pétreos;Misiones;Producción;Cantera Eldorado Campo San Juan
364;WEBER, Pedro;-27,746972;-55,773195;Triturados pétreos;Misiones;Producción;R y R Group SRL (El Nochero)
365;Carlos E. Enriquez S.A.;-27,392192;-55,977771;Triturados pétreos;Misiones;Producción;Cantera Santa María
366;De Paola, Gino;-27,662302;-55,371611;Triturados pétreos;Misiones;Producción;"Cantera ""GDP"""
367;Perez, Lucio (Gerente);-27,548868;-55,662406;Triturados pétreos;Misiones;Producción;Cantera La Solita
368;Apoderado: Ana Maria Basso del Pont;-27,473723;-55,669981;Triturados pétreos;Misiones;Producción;"Cantera ""Caminos del Mercosur S.R.L."""
369;Carrasco Galaz, Nolberto;-25,966573;-54,518838;Triturados pétreos;Misiones;Producción;Cantera Chile
370;Natalia Pamela Gonzalez;-27,453854;-55,940331;Triturados pétreos;Misiones;Producción;Cantera San Isidro II
371;CHUKEL, Hormando;-26,362013;-54,623252;Triturados pétreos;Misiones;Producción;Cantera El sol sale para todos
372;SACDE - Profundidad;-27,532372;-55,709976;Triturados pétreos;Misiones;Producción;Cantera Profundidad SACDE
373;Cantera Municipalidad de Garupá;-27,579213;-55,855908;Triturados pétreos;Misiones;Producción;Cantera Municipalidad de Garupá
374;Claudio Genovesio;-27,606441;-55,826133;Triturados pétreos;Misiones;Producción;Cantera JCR Parada Leis
375;Diego Biancalani;-27,384651;-56,016183;Triturados pétreos;Misiones;Producción;Cantera La Estrella
376;Simon Carlos Alberto;-27,075916;-54,883431;Triturados pétreos;Misiones;Producción;Cantera Simon
377;Meili, Ricardo Omar;-26,536281;-54,778884;Triturados pétreos;Misiones;Producción;Cantera Municpal Montecarlo
378;Don Adelmo SRL;-27,393028;-56,015051;Triturados pétreos;Misiones;Producción;Cantera Don Adelmo
379;Ríos , Cesar Roman;-26,808768;-54,911034;Triturados pétreos;Misiones;Producción;Cantera Concretar SRL
380;Bueno Juan Carlos;-27,482361;-55,437898;Triturados pétreos;Misiones;Construcción;Cantera Municipal Bonpland
381;Carlos E. Enriques S.A.;-27,608422;-55,825654;Triturados pétreos;Misiones;Producción;Cantera Enrique SA Ruta Nac. 105
382;Montania, Neris Martín;;;Arena;Misiones;Producción;Fortaleza SRL
383;Pasiecznik Carlos;-27,4581836;-55,8127862;Arena;Misiones;Producción;ABC SRL
384;Arenera Adolfo;-27,3300868;-55,5871;Arena;Misiones;Producción;Kalitko Alberto
385;Benitez José Sebastian;;;Arena;Misiones;Producción;JAVDEN SRL
386;WEPPLER Mariela;;;Arena;Misiones;Producción;WEPPLER Mariela
387;Arenera Muniagurria;-27,3375749;-55,5885499;Arena;Misiones;Producción;Jorge Moniagurria
388;Arenera del Paraná;-27,1486100;-55,5547200;Arena;Misiones;Producción;Hanania, Michel
389;Arenera El Sol;-27,3742882;-55,9334421;Arena;Misiones;Producción;Julia Resek de Otormin
390;Benitez, José Sebastián;;;Arena;Misiones;Producción;Arenera San Javier SRL
391;Arenera Stockmanns ;-26,8204198;-55,0308278;Arena;Misiones;Producción;Stockmanns José
392;Sartori Juan Pablo;;;Arena;Misiones;Producción;Sartori Juan Pablo
393;Arenera Fontana;;;Arena;Misiones;Producción;Arenera Fontana
394;Simon, Debora;-27,2663707;-55,5384169;Arena;Misiones;Producción;Arenera Don Juan
395;Roberto Enriquez;-27,3292404;-55,5864823;Arena;Misiones;Producción;Arenera Misión Paraná
396;Kisaiti - Klein;-27,3330647;-55,5875798;Arena;Misiones;Producción;Arenera CENTRO SRL
397;Ivanoff, Roxana;;;Arena;Misiones;Producción;Arenera Ivanoff
398;Bergallo, Maria Laura;-27,3597178;-55,9962805;Arena;Misiones;Producción;Arenera Don Faustino SRL
399;Daniel Prado;;;Arena;Misiones;Producción;Atalaya Servicios Fluviales
400;Arenera Kozlowski;-27,3404652;-55,5896783;Arena;Misiones;Producción;Kozlowski, Jorge Ramón
401;Arenera Simon;-27,2915157;-55,5351579;Arena;Misiones;Producción;Juan Heraldo Simon
402;Arcillas, Floresta;-24,822;-65,37;Arcillas;Salta;Producción;Ceramica Alberdi S.A.
403;Canteras y otras;-38,543677;-69,940972;Dolomía;Neuquén;Producción;Ambar Compañía Minera S.A
404;Canteras y otras;-38,727721;-70,263482;Caliza;Neuquén;Producción;Ambar Compañía Minera S.A
405;Toribia ;-37,222607;-69,092699;Asfaltita;Neuquén;Producción;ASPHALTUM S.A.
406;El Auque;-36,797086;-70,608795;Pirofilita;Neuquén;Producción;AZULAUQUEN S.A.
407;Carmelo;-37,412721;-70,255141;Cloruro de sodio;Neuquén;Producción;
408;Cateos;-38,948385;-68,697447;Arenas silíceas;Neuquén;Exploración inicial;YPF S.A.
409;El Ceibo;-37,233333;-69,6;Potasio;Neuquén;Exploración avanzada;CanCambria Exploración
410;El Choique;-37,610621;-69,319844;Cuarzo;Neuquén;Producción;El Choique SRL
411;Alba1 y otras;-38,462445;-68,833506;Arenas silíceas;Neuquén;Exploración avanzada;Transporte Rada Tilly S.A.
412;Susanita;-37,515621;-70,119697;Asfaltita;Neuquén;Exploración avanzada;Industria Cupríferas Latin Energy S.R.L.
413;Cateos;-38,873272;-68,67987;Arenas silíceas;Neuquén;Exploración avanzada;CORMINE S.E.P.
414;Cateos;-38,847655;-68,464813;Arenas silíceas;Neuquén;Exploración inicial;Productora Neuquina de Arenas S.A.S.
415;Cateo;-37,386143;-69,04659;Arenas silíceas;Neuquén;Exploración inicial;SALAZAR ALCAIDE CHRISTIAN-SALAZAR HUMBERTO ANGEL
416;Cateos;-38,765883;-68,631969;Arenas silíceas;Neuquén;Exploración inicial;SAPAG CARLOS SANTIAGO-PASTOR ROMERO RICARDO
417;Cateo;-37,305301;-69,213499;Arenas silíceas;Neuquén;Exploración avanzada;MASIP JUAN FRANCISCO
418;Cerros San Miguel El Carmen Los Pinos El Tarco San Cayetano;-24,96;-65,473;Caliza;Salta;Producción;Martinez Cerrano Ana Edith
419;Semacova Cerro Amigo;-37,03427;-59,86208;Granito;Buenos Aires;Producción;Semacova S.A
420;Vial Agro Cerro Amigo;-37,03259;-59,85649;Granito;Buenos Aires;Producción;Vial Agro S.A
421;Vinci;-37,03006;-59,8603;Granito;Buenos Aires;Producción;Vinci Ingeniería Servicios y Tecnología S.A
422;Cerro Azul;-37,06909;-59,92867;Granito;Buenos Aires;Producción;Constructora Dos Arroyos S.A
