N°;NOMBRE;LATITUD;LONGITUD;MINERAL PRINCIPAL;PROVINCIA;ESTADO;CONTROLANTE (1°);PORCENTAJE (1°);ORIGEN (1°);CONTROLANTE (2°);ORIGEN (2°);PORCENTAJE (2°);CONTROLANTE (3°);PORCENTAJE (3°);ORIGEN (3°);;;;;;;;;;
65;Cerro Negro;-24,862;-66,663;Cobre;Salta;Exploración inicial;Hanaq Group;100%;China;;;;;;;;;;;;;;;;
66;Cerro Peñón;-25,31234166;-68,40613333;Oro;Catamarca;Prospección;Elevado Gold;100%;Australia;;;;;;;;;;;;;;;;
67;Cerro Samenta;-24,91;-68,102;Cobre;Salta;Exploración inicial;Geoterra S.R.L.;100%;Argentina;;;;;;;;;;;;;;;;
68;Cerro Socompa;-24,395;-68,145;Cobre;Salta;Exploración avanzada;Rodriguez Silvia Rene;;;;;;;;;;;;;;;;;;
69;Cerro Solo;-43,37;-68,688;Uranio;Chubut;Exploración avanzada;CNEA;100%;Argentina;-;-;-;-;-;-;;;;;;;;;;
70;Cerro Vanguardia;-48,39861;-68,29083;Oro;Santa Cruz;Producción;AngloGold Ashanti plc;92,5%;Sudáfrica;Fomicruz;Argentina;7,5%;-;-;-;;;;;;;;;;
71;Chachas;-24,248;-67,329;Cobre;Salta;Exploración avanzada;Minera El Toro S.A.;;;;;;;;;;;;;;;;;;
72;Chihuidos ;-37,8417;-69,45;Uranio;Neuquén;Exploración inicial;Blue Sky Uranium Corp.;100%;Canadá;;;;;;;;;;;;;;;;
73;Cienaga Grande;-24,9;-66,627;Manganeso;Salta;Exploración inicial;Lazarte Luis Gabriel;;;;;;;;;;;;;;;;;;
74;Claudia;-48,56447;-68,10213;Oro;Santa Cruz;Exploración avanzada;Mirasol Resources Ltda.;100%;Canadá;-;-;-;-;-;-;;;;;;;;;;
75;Co. Abanico;-40,926;-68,262;Molibdeno;Río Negro;Exploración inicial;Southern Copper Corp. ;100%;Estados Unidos;;;;;;;;;;;;;;;;
76;Co. La Mina;-40,896;-68,168;Plata;Río Negro;Exploración inicial;Southern Copper Corp. ;100%;Estados Unidos;;;;;;;;;;;;;;;;
77;Coipita;-30,8986;-70,15645;Cobre;San Juan;Exploración inicial;Teck Resources Ltda.;80%;Canadá;AbraSilver Corp.;Canadá;20%;-;-;-;;;;;;;;;;
78;Conserrat;-48,2978;-68,53819;Oro;Santa Cruz;Exploración avanzada;Unico Silver Ltda.;100%;Australia;;;;-;-;-;;;;;;;;;;
79;Corcovo;-35,5;-69,75;Uranio;Mendoza;Exploración inicial;Blue Sky Uranium Corp.;100%;Canadá;;;;;;;;;;;;;;;;
80;Córdoba;-22,43;-66,34;Oro;Jujuy;Producción;Sociedad Minera Santa Maria S.A.;100%;Argentina;-;-;-;-;-;-;;;;;;;;;;
81;Cristal;-41,134;-68,672;Plata;Río Negro;Prospección;Southern Copper Corp. ;100%;Estados Unidos;;;;;;;;;;;;;;;;
82;Custodio (San Martin Salamanca);-25,174;-65,805;Cobre;Salta;Exploración inicial;Ekeko S.A;;;;;;;;;;;;;;;;;;
83;Cuya;-40,98916667;-68,38583333;Plata;Río Negro;Exploración inicial;Valcheta Exploraciones;100%;Argentina;;;;;;;;;;;;;;;;
84;Diablillos;-25,27349;-66,81259;Plata;Catamarca - Salta;Factibilidad;AbraSilver Resources Corp;100%;Canadá;-;-;-;-;-;-;;;;;;;;;;
85;Diana (La Torca);-24,431;-66,309;Plomo;Salta;Exploración avanzada;Cardero Argentina S.A.;;;;;;;;;;;;;;;;;;
86;Distrito Gonzalito;-41,29;-65,75;Plomo;Río Negro;Exploración inicial;Trendix Mining SRL ;100%;Argentina;;;;;;;;;;;;;;;;
87;Don Julio;-30,51674;-69,7068;Oro;San Juan;Exploración avanzada;South32 ltd.;65%;Australia;Sable Resources Ltd.;Canadá;35%;-;-;-;;;;;;;;;;
88;Don Nicolás;-47,93368;-67,45171;Oro;Santa Cruz;Producción;Cerrado Gold Inc.;100%;Canadá;-;-;-;-;-;-;;;;;;;;;;
89;Don Otto;-25,611;-65,927;Uranio;Salta;Factibilidad;CNEA;100%;Argentina;;;;;;;;;;;;;;;;
90;Don Sixto;-36,29308;-68,45586;Oro;Mendoza;Exploración avanzada;Pan American Silver Corp;100%;Canadá;-;-;-;-;-;-;;;;;;;;;;
91;Doncella;-24,787;-68,004;Litio;Salta;Exploración avanzada;Hanaq Group;100%;China;;;;;;;;;;;;;;;;
92;Dos Lagunas;-40,916;-67,958;Plata;Río Negro;Exploración inicial;Trendix Mining SRL ;100%;Argentina;;;;;;;;;;;;;;;;
93;El Abra;-24,273;-66,472;Antimonio;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
94;El Acay;-24,408;-66,176;Plomo;Salta;Exploración inicial;Southern Cross Britania Lta.;;Reino Unido;;;;;;;;;;;;;;;;
95;El Bagual;-40,406;-67,949;Plata;Río Negro;Exploración inicial;;;;;;;;;;;;;;;;;;;
96;El Chorro;-24,933;-64,808;Cobre;Salta;Prospección;;;;;;;;;;;;;;;;;;;
97;El Dorado Monserrat;-48,40667;-68,60556;Oro;Santa Cruz;Exploración avanzada;Fredonia Mining Inc.;100%;Canadá;-;-;-;-;-;-;;;;;;;;;;
98;El Duende;-41,933;-69,176;Plata;Río Negro;Prospección;Patagonia Gold;100%;Canadá;;;;;;;;;;;;;;;;
99;El Fierro;-29,45117;-69,47948;Plata;San Juan;Exploración inicial;Sable Resources Ltd.;100%;Canadá;-;-;-;-;-;-;;;;;;;;;;
100;El Mago;-40,328;-67,827;Oro;Río Negro;Prospección;Valcheta Exploraciones;100%;Argentina;;;;;;;;;;;;;;;;
101;El Morro;-41,286;-65,833;Plata;Río Negro;Exploración inicial;Patagonia Gold;100%;Canadá;;;;;;;;;;;;;;;;
102;El Nazareno;-22,512;-65,093;Plomo;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
103;El Pachón;-31,744;-70,431;Cobre;San Juan;Factibilidad;Glencore Plc.;100%;Suiza;-;-;-;-;-;-;;;;;;;;;;
104;El Pantano ;-47,90065;-68,50273056;Oro;Santa Cruz;Exploración inicial;Orosur Mining Inc.;50%;Canadá;Deseado Dorado S. A. S.;Argentina;50%;;;;;;;;;;;;;
105;El Peñon;-24,832;-66,31;Wolframio;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
106;El Quevar;-24,321178;-66,814928;Plata;Salta;Evaluación Económica Preliminar;Argenta Silver Corp. ;100%;Canadá;;;;-;-;-;;;;;;;;;;
107;El Quirusillal;-22,486;-65,11;Plomo;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
108;El Rosillo;-41,14835;-70,16163;Plata;Río Negro;Exploración inicial;Unico Silver Ltda. ;100%;Australia;;;;;;;;;;;;;;;;
109;El Salto;-24,961;-64,831;Cobre;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
110;El Zanjón;-48,76443;-67,95911;Oro;Santa Cruz;Prospección;Rugby Resources Ltd.;100%;Canadá;;;;;;;;;;;;;;;;
111;Elena;-25,029;-67,425;Cobre;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
112;Emilia (Vicuña);-24,16;-66,401;Plomo;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
113;Emma Olga;-25,133;-66,401;Plomo;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
114;Encrucijada;-24,287;-66,182;Cobre;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
115;Escondido;-41,75416667;-69,92527778;Plata;Río Negro;Exploración inicial;Patagonia Gold ;100%;Canadá;;;;;;;;;;;;;;;;
116;Esperanza;-40,35944444;-68,39805556;Plata;Río Negro;Exploración inicial;Southern Copper Corp. ;100%;Estados Unidos;;;;;;;;;;;;;;;;
117;Esperanza (ex Chacabuco);-22,743;-65,215;Plomo;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
118;Esperanza Ii;-41,317;-65,717;Plomo;Río Negro;Prospección;Southern Copper Corp. ;100%;Estados Unidos;;;;;;;;;;;;;;;;
119;Esperanza y Huachi;-29,92;-68,85472222;Oro;San Juan;Exploración inicial;Latin Metals Inc.;100%;Canadá;;;;;;;;;;;;;;;;
120;Estela (Elsa);-24,499;-66,026;Cobre;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
121;Esther (Farallones);-24,278;-66,463;Antimonio;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
122;Ex mina Frusso;-24,331;-67,683;Cobre;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
123;Farallón Negro;-27,3079;-66,67527;Oro;Catamarca;Producción;YMAD;100%;Argentina;-;-;-;-;-;-;;;;;;;;;;
124;Fenix;-25,3927;-67,04878;Litio;Catamarca;Producción;Rio Tinto Group;100%;Reino Unido;-;-;-;-;-;-;;;;;;;;;;
125;Fierro;-41,43361111;-65,29027778;Hierro;Río Negro;Prospección;Argentina Lithium & Energy Corp.;100%;Canadá;;;;;;;;;;;;;;;;
126;Filo de Las Vicuñas;-27,625592;-68,494164;Oro;Catamarca;Exploración inicial;CAMYEN SE;100%;Argentina;;;;;;;;;;;;;;;;
127;Filo Del Sol;-28,49471;-69,662;Cobre;San Juan;Prefactibilidad;Lundin Mining Corporation;50%;Canadá;BHP Group Corp.;Australia;50%;-;-;-;;;;;;;;;;
128;Finca El Toro;-24,183;-65,855;Hierro;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
129;Flammarion;-24,17;-66,412;Plomo;Salta;Exploración avanzada;Hanaq Group;100%;China;;;;;;;;;;;;;;;;
130;Formentera-Cilón;-23,39751;-66,98014;Litio;Jujuy;Exploración inicial;Patagonia Lithium ;100%;Australia;;;;;;;;;;;;;;;;
131;Francisco Cornejo;-24,365;-66,036;Cobre;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
132;Gallego;-25,03;-67,01;Litio;Salta;Exploración avanzada;Everlight Resources;100%;Australia;;;;;;;;;;;;;;;;
133;Gran Mascasin;-31,7096638;-66,7770111;Litio;La Rioja;Prospección;Litios LRJ S.A. ;100%;Argentina;;;;;;;;;;;;;;;;
134;Gualcamayo / Carbonatos Profundos ;-29,72;-68,629;Oro;San Juan;Producción;Eris LLC;100%;Estados Unidos;-;-;-;-;-;-;;;;;;;;;;
135;Hierro Indio;-35;-69,783333;Hierro;Mendoza;Exploración avanzada;Orvana Minerals Corp;;;;;;;;;;;;;;;;;;
136;Hombre Muerto Norte;-25,22556;-66,98187;Litio;Salta;Evaluación Económica Preliminar;POSCO Holdings Inc. ;100%;Corea del Sur;;;;-;-;-;;;;;;;;;;
137;Hombre Muerto Oeste;-25,4099951;-67,2450136;Litio;Catamarca;Construcción;Galan Lithium Limited;100%;Australia;-;-;-;-;-;-;;;;;;;;;;
138;Hombre Muerto ;-25,534896;-67,10699;Litio;Catamarca;Prospección;Pan American Energy;100%;Argentina;;;;;;;;;;;;;;;;
139;Hope;-44,275;-67,0475;Uranio;Chubut;Prospección;;;;;;;;;;;;;;;;;;;
140;Hortencia;-24,282;-67,667;Cobre;Salta;Exploración inicial;Ganfeng Lithium Co. Ltd.;;;;;;;;;;;;;;;;;;
141;Huaico Hondo;-24,479;-66,191;Cobre;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
142;Hualilán;-30,73193;-68,95328;Oro;San Juan;Producción;Challenger Gold Ltda. ;100%;Australia;-;-;-;-;-;-;;;;;;;;;;
143;Huemules;-36,1539145;-69,2049679;Uranio;Mendoza;Exploración inicial;Jaguar Uranium Corp. ;100%;Canadá;;;;;;;;;;;;;;;;
144;Inca;-24,34;-65,911;Hierro;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
145;Inca Viejo;-25,145;-66,761;Oro;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
146;Incachule;-24,267;-66,46;Manganeso;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
147;Incahuasi;-26,35584;-67,64756;Litio;Catamarca;Exploración inicial;Argentina Lithium & Energy Corp.;100%;Canadá;-;-;-;-;-;-;;;;;;;;;;
148;Incahuasi;-24,15033754;-67,53405109;Litio;Salta;Exploración avanzada;;;;;;;;;;;;;;;;;;;
149;Incahuasi;-24,362;-65,914;Oro;Salta;Exploración inicial;Cascadero Minerals S.A.;50%;;N/A;;50%;;;;;;;;;;;;;
150;Incahuasi Moncho;-24,24349093;-67,56645623;Litio;Salta;Exploración avanzada;Ganfeng Lithium Co. Ltd. ;100%;China;;;;;;;;;;;;;;;;
151;Incauca;-25,166;-66,401;Plomo;Salta;Prospección;;;;;;;;;;;;;;;;;;;
152;Interceptor;-27,68537;-68,29215;Cobre;Catamarca;Prospección;NGEx Minerals Ltd.;100%;Canadá;-;-;-;-;-;-;;;;;;;;;;
153;Ivana (Amarillo Grande);-39,61437;-67,22486;Uranio;Río Negro;Evaluación Económica Preliminar;Ivana Minerales S.A.;100%;Argentina;-;-;-;-;-;-;;;;;;;;;;
154;Jaguelíto;-29,77222;-69,6375;Oro;San Juan;Exploración inicial;Corporación América;100%;Argentina;-;-;-;-;-;-;;;;;;;;;;
155;Josemaria;-28,43583;-69,54861;Cobre;San Juan;Construcción;Lundin Mining Corporation;50%;Canadá;BHP Group ;Australia;50%;-;-;-;;;;;;;;;;
156;Juramento;-25,221;-65,112;Cobre;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
157;Kachi;-26,49883;-67,42899;Litio;Catamarca;Factibilidad;Lake Resources NL;75%;Australia;Lilac Solutions Inc.;Estados Unidos;25%;-;-;-;;;;;;;;;;
158;Kaia;-41,39638889;-69,41694444;Uranio;Río Negro;Prospección;;;;;;;;;;;;;;;;;;;
159;Karachi Salar Escondido;-26,378105;-67,4459527;Litio;Catamarca;Prospección;Lithium South;100%;Canadá;-;-;-;-;-;-;;;;;;;;;;
